country_name,code,date,male_cases,female_case,male_deaths,female_deaths
USA,US,NA,NA,NA,191151,149614
USA,US,5/30/2020,646358,674130,NA,NA
USA,US,8/4/2020,1647734,1756676,63680,54465
USA,US,9/1/2020,2132555,2285703,73755,62828
USA,US,9/17/2020,2289355,2453757,74985,63876
USA,US,9/29/2020,2535300,2714576,104896,89191
USA,US,10/13/2020,2756451,2949964,107472,91332
USA,US,10/27/2020,3208204,3455564,112487,95389
USA,US,11/11/2020,3603814,3889573,117553,99789
USA,US,11/26/2020,4419546,4793108,130005,110202
USA,US,12/16/2020,5750585,6277679,141640,119883
USA,US,1/6/2021,7200368,7891533,163547,138124
USA,US,1/21/2021,8398741,9219813,178688,150898
USA,US,2/3/2021,9262444,10161108,194851,164494
USA,US,2/18/2021,9756907,10689807,250660,209564
USA,US,3/4/2021,10329640,11300906,269909,224326
USA,US,3/17/2021,10583301,11575818,277393,229834
USA,US,4/20/2021,11683541,12762294,299280,246471
USA,US,5/21/2021,12469966,13619030,314875,259170
USA,US,6/15/2021,12759376,13937579,321760,264899
USA,US,7/22/2021,13090441,14303967,329643,271481
USA,US,8/17/2021,13852916,15163295,334849,275576
USA,US,9/21/2021,15609768,17073942,362187,296567
USA,US,10/19/2021,16865629,18467912,398938,324942
USA,US,11/16/2021,18172956,19927756,422279,343041
USA,US,12/14/2021,19355588,21215790,435323,352945
USA,US,1/25/2022,21879392,24185288,NA,NA
USA,US,2/24/2022,23506696,26108152,NA,NA
USA,US,3/22/2022,26024632,29054990,NA,NA
USA,US,4/18/2022,32094662,36326177,447471,363856
USA,US,6/17/2022,35290145,40173647,465437,379948
Brazil,BR,5/12/2020,52434,62183,NA,NA
Brazil,BR,6/13/2020,NA,NA,23180,16223
Brazil,BR,6/29/2020,NA,NA,31782,22494
Brazil,BR,7/21/2020,NA,NA,40142,26680
Brazil,BR,8/4/2020,NA,NA,48868,35073
Brazil,BR,9/17/2020,NA,NA,71272,51481
Brazil,BR,9/29/2020,NA,NA,77756,56120
Brazil,BR,10/13/2020,NA,NA,82745,60019
Brazil,BR,10/27/2020,NA,NA,86929,63335
Brazil,BR,12/15/2020,297257,232176,99754,73400
Brazil,BR,1/5/2021,317410,248055,105223,77637
Brazil,BR,2/2/2021,NA,NA,110660,81883
Brazil,BR,2/16/2021,NA,NA,116744,86980
Brazil,BR,3/2/2021,NA,NA,NA,NA
Brazil,BR,3/16/2021,NA,NA,126604,95215
Brazil,BR,6/15/2021,NA,NA,236691,185065
Brazil,BR,7/20/2021,NA,NA,270313,210674
Brazil,BR,8/17/2021,NA,NA,287135,223493
Brazil,BR,9/21/2021,NA,NA,300380,233739
Brazil,BR,12/14/2021,NA,NA,316251,246600
Brazil,BR,2/22/2022,NA,NA,325228,254694
Brazil,BR,4/12/2022,NA,NA,335494,262938
Brazil,BR,6/13/2022,5613410,5115462,338167,265154
